token,up_delta_mean,up_delta_std,up_count,down_delta_mean,down_delta_std,down_count,baseline_rank_mean,up_rank_mean,down_rank_mean,up_rank_change,down_rank_change
"
",0.875,1.415317985471816,11,2.2386363636363638,1.936858398165817,11,1.0,1.0,1.0,0.0,0.0
 a,-8.822916666666666,8.34375344238748,18,-8.927083333333334,7.714019001429266,18,1.0,13.833333333333334,12.222222222222221,-12.833333333333334,-11.222222222222221
 and,-14.4125,6.393641046644183,10,-10.20625,5.441453703081354,10,1.0,15.5,11.1,-14.5,-10.1
 in,-13.21875,7.567405433832655,8,-11.53125,8.450155852324349,8,1.0,10.875,17.75,-9.875,-16.75
 the,-5.039930555555555,6.840549280527506,36,-5.220486111111111,7.821551700714152,36,1.0,7.611111111111111,9.194444444444445,-6.611111111111111,-8.194444444444445
 to,-13.161458333333334,8.3124554994252,12,-13.135416666666666,9.74259747153829,12,1.0,11.583333333333334,15.333333333333334,-10.583333333333334,-14.333333333333334
 user,-4.071428571428571,3.255489868777706,7,-1.3214285714285714,7.323925242134913,7,1.0,1.0,1.8571428571428572,0.0,-0.8571428571428572
",",-8.664473684210526,9.372954968986042,38,-8.754934210526315,10.895090381508105,38,1.0,6.842105263157895,11.236842105263158,-5.842105263157895,-10.236842105263158
.,-10.584821428571429,6.561085339411761,14,-13.089285714285714,9.617464404193761,14,1.0,6.285714285714286,13.285714285714286,-5.285714285714286,-12.285714285714286
<think>,0.7272727272727273,0.5858172225035878,11,-1.3636363636363635,0.7276987388648235,11,1.0,1.0,1.0,0.0,0.0
Okay,-1.5227272727272727,2.3755382165273238,11,-0.5909090909090909,2.2535325803966293,11,1.0,1.0,1.0,0.0,0.0
